"contrast","direction","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","ABCA9",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; TS_Muscle_mesenchymal stem cell","Smooth muscle cell; Stromal cells; Fetal stromal cell; mesenchymal stem cell","Smooth muscle cell; Stromal cell; Mesenchymal stem cell"
"old ID vs old CD","Upregulated","ABI3BP",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; FetalMuscle_Fetal stromal cell; TS_Muscle_mesenchymal stem cell; FetalMuscle_Fetal mesenchymal progenitor; Fetal_HCA_Muscle_Skeletal muscle cells","Smooth muscle cell; Fetal stromal cell; mesenchymal stem cell; Fetal mesenchymal progenitor; Skeletal muscle cells","Smooth muscle cell; Stromal cell; Mesenchymal stem cell; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","ADAMTSL3",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; TS_Muscle_mesenchymal stem cell; TS_Muscle_tendon cell","Smooth muscle cell; Stromal cells; Fetal stromal cell; mesenchymal stem cell; tendon cell","Smooth muscle cell; Stromal cell; Mesenchymal stem cell; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","APOL1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; FetalMuscle_Dendritic cell; TS_Muscle_endothelial cell of vascular tree; TS_Muscle_capillary endothelial cell","Smooth muscle cell; Dendritic cell; endothelial cell of vascular tree; capillary endothelial cell","Smooth muscle cell; Dendritic cell; Endothelial cell; Capillary endothelial cell"
"old ID vs old CD","Upregulated","BGN",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Stromal cells; TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Smooth muscle cells; TS_Muscle_endothelial cell of artery; TS_Muscle_pericyte cell; TS_Muscle_tendon cell; TS_Muscle_smooth muscle cell; FetalMuscle_Fetal mesenchymal progenitor; FetalMuscle_Smooth muscle cell","Smooth muscle cell; Stromal cells; mesenchymal stem cell; Smooth muscle cells; endothelial cell of artery; pericyte cell; tendon cell; smooth muscle cell; Fetal mesenchymal progenitor","Smooth muscle cell; Stromal cell; Mesenchymal stem cell; Endothelial cell; Pericyte cell; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","CFH",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell; TS_Muscle_endothelial cell of lymphatic vessel; Fetal_HCA_Muscle_Satellite cells; TS_Muscle_endothelial cell of artery; TS_Muscle_tendon cell","Smooth muscle cell; mesenchymal stem cell; endothelial cell of lymphatic vessel; Satellite cells; endothelial cell of artery; tendon cell","Smooth muscle cell; Mesenchymal stem cell; Endothelial cell; Skeletal muscle satellite cell; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","COL14A1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Stromal cells; FetalMuscle_Fetal stromal cell; TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Schwann cells; FetalMuscle_Fetal neuron; TS_Muscle_tendon cell; TS_Muscle_smooth muscle cell; FetalMuscle_Fetal mesenchymal progenitor","Smooth muscle cell; Stromal cells; Fetal stromal cell; mesenchymal stem cell; Schwann cells; Fetal neuron; tendon cell; smooth muscle cell; Fetal mesenchymal progenitor","Smooth muscle cell; Stromal cell; Mesenchymal stem cell; Schwann cell; Neuron; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","CRISPLD2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Smooth muscle cells; TS_Muscle_pericyte cell; FetalMuscle_Smooth muscle cell","Smooth muscle cell; mesenchymal stem cell; Smooth muscle cells; pericyte cell","Smooth muscle cell; Mesenchymal stem cell; Pericyte cell"
"old ID vs old CD","Upregulated","ECM2",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; Fetal_HCA_Muscle_Stromal cells; TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Smooth muscle cells; TS_Muscle_pericyte cell; TS_Muscle_tendon cell; FetalMuscle_Smooth muscle cell","Smooth muscle cell; Stromal cells; mesenchymal stem cell; Smooth muscle cells; pericyte cell; tendon cell","Smooth muscle cell; Stromal cell; Mesenchymal stem cell; Pericyte cell; Cell of skeletal muscle"
"old ID vs old CD","Upregulated","EFHD1",5.68637445893527e-05,4.2451645445586,"AdultMuscle_Smooth muscle cell; TS_Muscle_mesenchymal stem cell; Fetal_HCA_Muscle_Smooth muscle cells; TS_Muscle_pericyte cell; TS_Muscle_smooth muscle cell; FetalMuscle_Smooth muscle cell","Smooth muscle cell; mesenchymal stem cell; Smooth muscle cells; pericyte cell; smooth muscle cell","Smooth muscle cell; Mesenchymal stem cell; Pericyte cell"
