"contrast","direction","General_cell_type","best_combined_p","best_combined_log10p","significant_tissue_cell_type_n"
"young CD vs old CD","Downregulated","Monocyte",5.5631854001259e-07,6.25467646641008,38
"young CD vs old CD","Downregulated","Epithelial cell",1.56881353052807e-06,5.80442867366948,46
"young CD vs old CD","Downregulated","Macrophage",2.05678716302948e-06,5.68681064690723,72
"young CD vs old CD","Downregulated","Myeloid cell",2.5370835176064e-06,5.59566523611347,16
"young CD vs old CD","Downregulated","Granulocyte",3.48035232977661e-06,5.45837678848664,1
"young CD vs old CD","Downregulated","Enterocyte",5.76979313093862e-06,5.23883975767657,18
"young CD vs old CD","Downregulated","B cell",8.87021595341597e-06,5.05206580674829,72
"young CD vs old CD","Downregulated","T cell",9.74006236253988e-06,5.01143826246222,119
"young CD vs old CD","Downregulated","Mesenchymal stem cell",1.10341252708146e-05,4.95726208978967,10
"young CD vs old CD","Downregulated","Endothelial cell",1.14628716754162e-05,4.94070656940564,78
"young CD vs old CD","Downregulated","Keratinocyte",1.52718521800876e-05,4.81610828823428,1
"young CD vs old CD","Downregulated","Basal cell",1.73551305145958e-05,4.76057211598533,14
"young CD vs old CD","Downregulated","Innate lymphoid cell",1.85955679905536e-05,4.73059055183602,13
"young CD vs old CD","Downregulated","Dendritic cell",1.90075763077946e-05,4.72107325731957,54
"young CD vs old CD","Downregulated","Natural killer cell",1.98294889717232e-05,4.70268847790869,35
"young CD vs old CD","Downregulated","Hepatocyte",2.10573285595039e-05,4.67659672647708,7
"young CD vs old CD","Downregulated","Intestinal crypt stem cell",2.18726996193963e-05,4.66009761122615,3
"young CD vs old CD","Downregulated","Stromal cell",2.34962410952111e-05,4.62900161016152,17
"young CD vs old CD","Downregulated","Plasma cell",2.39006926352481e-05,4.62158951313941,20
"young CD vs old CD","Downregulated","Paneth cell",2.47079481585644e-05,4.60716331855634,2
"young CD vs old CD","Downregulated","Pancreatic ductal cell",2.59148554645483e-05,4.58645120901716,4
"young CD vs old CD","Downregulated","Transit amplifying cell",2.75170107040257e-05,4.56039874722651,2
"young CD vs old CD","Downregulated","Pancreatic stellate cell",2.79163434253604e-05,4.55414146764583,1
"young CD vs old CD","Downregulated","Fibroblast",3.1490109567045e-05,4.50182582827167,24
"young CD vs old CD","Downregulated","Skeletal muscle satellite cell",3.26737591460624e-05,4.48580089667016,1
"old ID vs old CD","Downregulated","Plasma cell",3.5030534605851e-05,4.45555323480336,10
"young CD vs old CD","Downregulated","Glial cell",3.58131486909441e-05,4.44595749415182,1
"young CD vs old CD","Downregulated","Mast cell",3.7374119779221e-05,4.42742902688233,23
"young CD vs old CD","Downregulated","Neutrophil",3.7763499226795e-05,4.42292777008167,33
"young CD vs old CD","Downregulated","Muscle cell",3.85412489970482e-05,4.414074215375,4
"young CD vs old CD","Downregulated","Thymocyte",4.16393117758096e-05,4.38049645722198,4
"young CD vs old CD","Downregulated","Pneumocyte",4.2025169056048e-05,4.37649053083409,2
"young CD vs old CD","Downregulated","Hematopoietic stem cell",4.3950000986559e-05,4.35704111084147,11
"young CD vs old CD","Downregulated","Urothelial cell",4.58676641207356e-05,4.33849337639965,1
"young CD vs old CD","Downregulated","Ionocyte",4.66327954723456e-05,4.3313085493359,1
"young CD vs old CD","Downregulated","Melanocyte",5.08222783398571e-05,4.29394586962314,3
"young CD vs old CD","Downregulated","Immune cell",5.12016288141126e-05,4.29071622313102,1
"young CD vs old CD","Downregulated","Microglial cell",5.46050698765344e-05,4.26276703280471,10
"young CD vs old CD","Downregulated","Hofbauer cell",5.55471559059439e-05,4.25533817265426,1
"young CD vs old CD","Downregulated","Smooth muscle cell",6.17311554939048e-05,4.20949559376138,24
"young CD vs old CD","Downregulated","Cell of skeletal muscle",6.24769344017562e-05,4.20428028843076,9
"young CD vs old CD","Downregulated","Erythroid progenitor cell",6.32219291736291e-05,4.19913225609722,10
"young CD vs old CD","Downregulated","Salivary gland cell",6.3594135640388e-05,4.19658293115105,2
"young CD vs old CD","Downregulated","Pericyte cell",6.54523073227997e-05,4.18407503910715,9
"young CD vs old CD","Downregulated","Acinar cell",6.91548066925618e-05,4.16017762831669,6
"young CD vs old CD","Downregulated","Primordial germ cell",7.13678073205326e-05,4.14649764614936,5
"young CD vs old CD","Downregulated","Goblet cell",8.77830949692626e-05,4.05658911129718,10
"young CD vs old CD","Downregulated","Plasmacytoid dendritic cell",9.24714056725895e-05,4.03399254054134,4
"young CD vs old CD","Downregulated","Club cell",9.49868271592491e-05,4.02233661880294,4
"young CD vs old CD","Downregulated","Professional antigen presenting cell",0.00010463348274192,3.98032931887996,10
"young CD vs old CD","Downregulated","Langerhans cell",0.00010534469303813,3.97738733800849,1
"young CD vs old CD","Downregulated","Thyroid follicular cell",0.00011983074371391,3.92143174528235,1
"young CD vs old CD","Downregulated","Mesothelial cell",0.0001215857512774,3.91511731736738,5
"young CD vs old CD","Downregulated","Epithelial fate stem cell",0.00012263761040343,3.91137632030889,6
"young CD vs old CD","Downregulated","Hepatoblast",0.00012298804099619,3.91013711605543,1
"young CD vs old CD","Downregulated","Kidney cell",0.00013345846794077,3.87465386501415,1
"young CD vs old CD","Downregulated","Kupffer cell",0.00013380610983881,3.87352405541198,1
"young CD vs old CD","Downregulated","Type II cell of adrenal cortex",0.00013901057146648,3.85695217129281,3
"young CD vs old CD","Downregulated","Excitatory neuron",0.00014626584780463,3.8348570671861,8
"young CD vs old CD","Downregulated","Basophil",0.00015142703656456,3.81979657673479,1
"young CD vs old CD","Downregulated","Neuron",0.00016476859981251,3.7831255488736,5
"young CD vs old CD","Downregulated","Intrahepatic cholangiocyte",0.00016510928165214,3.78222851209756,1
"young CD vs old CD","Downregulated","Trophoblast cell",0.00016851236970394,3.77336821409834,4
"young CD vs old CD","Downregulated","Chondrocyte",0.00018576719230889,3.73103098279286,3
"young CD vs old CD","Downregulated","Erythroid lineage cell",0.00018745016626164,3.72711417003846,4
"young CD vs old CD","Downregulated","Endocrine cell",0.00019215463073363,3.71634914501264,5
"young CD vs old CD","Downregulated","Retinal pigment epithelial cell",0.0001931612439936,3.7140800063271,1
