"direction_class","significance_class","n_genes"
"Youth-like higher","Age contrast only",1453
"Youth-like higher","ID contrast only",72
"Youth-like higher","Neither nominal",1859
"Youth-like higher","Nominal in both",80
"Youth-like lower","Age contrast only",1551
"Youth-like lower","ID contrast only",47
"Youth-like lower","Neither nominal",2171
"Youth-like lower","Nominal in both",70
"Opposing: ID lower","Age contrast only",997
"Opposing: ID lower","ID contrast only",23
"Opposing: ID lower","Neither nominal",1788
"Opposing: ID lower","Nominal in both",18
"Opposing: ID higher","Age contrast only",844
"Opposing: ID higher","ID contrast only",52
"Opposing: ID higher","Neither nominal",1683
"Opposing: ID higher","Nominal in both",28
