"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison","contrast","direction","human_symbol","mouse_entrez","human_entrez","mouse_ensembl","human_ensembl","ortholog_support_n","ortholog_support_sources"
"Serpinb6a",4883.18714779971,-1.27844822874505,0.0954315331759995,-13.3964967993051,6.33851465002665e-41,9.35754917783434e-37,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SERPINB6",20719,5269,"ENSMUSG00000060147","ENSG00000124570",9,"Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Rrad",309.524238093433,-3.76238771505392,0.306046854868227,-12.2935023026911,9.81592282380823e-35,7.24562343239405e-31,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RRAD",56437,6236,"ENSMUSG00000031880","ENSG00000166592",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Krt18",105.329459200079,-5.9768530017895,0.487996679763652,-12.2477329245032,1.72757953427375e-34,8.50141888816111e-31,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","KRT18",16668,3875,"ENSMUSG00000023043","ENSG00000111057",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Igj",231.829385593844,-6.0342839932003,0.520904687549065,-11.5842382252164,4.95350601325394e-31,1.79172280949165e-27,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Amy1",2337.27376418806,-1.63568754764995,0.141411900836275,-11.5668309242497,6.06828832043503e-31,1.79172280949165e-27,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","AMY2A",11722,279,"ENSMUSG00000074264","ENSG00000243480",7,"HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Pde7a",3304.39234830014,-1.05851781741765,0.095290166385076,-11.1083636179214,1.14233656568118e-28,2.81071911985855e-25,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PDE7A",18583,5150,"ENSMUSG00000069094","ENSG00000205268",11,"EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Igkc",955.352904369671,-8.04307379745868,0.728607374593918,-11.038968418267,2.47862378222575e-28,5.2274175567141e-25,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGKC",16071,3514,"ENSMUSG00000076609","ENSG00000211592",4,"Ensembl|Inparanoid|OMA|PhylomeDB"
"Plekhh1",118.736912142452,-4.83618396839413,0.442464610107717,-10.930103465714,8.27540140871013e-28,1.52712188745985e-24,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PLEKHH1",211945,57475,"ENSMUSG00000060716","ENSG00000054690",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Nkx2-2os",38.4822458851635,-4.45810166571831,0.421728082664785,-10.5710334430394,4.0599576936881e-26,6.65968393687971e-23,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Rhpn2",175.861246047937,-1.75012902264619,0.171553949322306,-10.2016247924327,1.94982887819416e-24,2.87853237287804e-21,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RHPN2",52428,85415,"ENSMUSG00000030494","ENSG00000131941",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cyp4f14",42.637255979636,-5.97583661674326,0.598945253419322,-9.9772668413812,1.91673797551927e-23,2.57243661205372e-20,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CYP4F2",64385,8529,"ENSMUSG00000024292","ENSG00000186115",7,"Ensembl|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tmem132b",85.7504390676932,-3.72315087232325,0.377294743353409,-9.86801681685718,5.7285980668667e-23,6.50548409701178e-20,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TMEM132B",208151,114795,"ENSMUSG00000070498","ENSG00000139364",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
