"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison","direction","human_symbol","mouse_entrez","human_entrez","mouse_ensembl","human_ensembl","ortholog_support_n","ortholog_support_sources"
"Kcnc1",1659.47390803398,-0.348564793758779,0.0861886146650739,-4.04420926259564,5.25000121538964e-05,0.454097159691186,"~cohort + diet","old ID vs CD","Downregulated","KCNC1",16502,3746,"ENSMUSG00000058975","ENSG00000129159",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Fuca2",387.277460171015,-0.305878785678796,0.0783680171612629,-3.90310737413925,9.49655469990513e-05,0.454097159691186,"~cohort + diet","old ID vs CD","Downregulated","FUCA2",66848,2519,"ENSMUSG00000019810","ENSG00000001036",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Fat3",97.9536141939563,-0.61754307439234,0.178490360976178,-3.45981189692793,0.00054055285352166,0.984887299116464,"~cohort + diet","old ID vs CD","Downregulated","FAT3",270120,120114,"ENSMUSG00000074505","ENSG00000165323",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Pigk",933.59509468171,-0.180116373384757,0.0541133771068691,-3.32849995721101,0.000873150184144718,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PIGK",329777,10026,"ENSMUSG00000039047","ENSG00000142892",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ddah1",185.622181725783,-0.720204193611072,0.219425625465956,-3.28222463571289,0.00102991522328114,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","DDAH1",69219,23576,"ENSMUSG00000028194","ENSG00000153904",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Dera",172.9481627763,-0.443562030655798,0.13547825123915,-3.27404603025773,0.00106019339696447,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","DERA",232449,51071,"ENSMUSG00000030225","ENSG00000023697",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Hspa5",7005.32911947866,-0.224695069061432,0.0703094397532181,-3.1958022969618,0.00139442623882386,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","HSPA5",14828,3309,"ENSMUSG00000026864","ENSG00000044574",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ostm1",1162.99721923262,-0.249658702207422,0.0801794050136974,-3.11375099584204,0.00184725315530937,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","OSTM1",14628,28962,"ENSMUSG00000038280","ENSG00000081087",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ttc13",556.406739392551,-0.252063161123568,0.0813269836021356,-3.09937919690592,0.00193926643440027,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","TTC13",234875,79573,"ENSMUSG00000037300","ENSG00000143643",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Zdhhc21",774.210843153475,-0.240013597784777,0.0812251112911483,-2.95491866947965,0.00312751485744206,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","ZDHHC21",68268,340481,"ENSMUSG00000028403","ENSG00000175893",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Pigv",230.798955415458,-0.269711445238726,0.0924225494089909,-2.91824286349418,0.00352010066481804,0.999946780809711,"~cohort + diet","old ID vs CD","Downregulated","PIGV",230801,55650,"ENSMUSG00000043257","ENSG00000060642",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
